module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,30M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42615724,15549850,1970,2,28894652,8321405,4096,99%,0,0,0,0,23.19,1778.55,7963,30:06.09
velvet,LS002,30M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42615724,15549850,2514,2,28894996,8322424,4096,99%,0,0,0,0,22.75,1783.42,8032,30:10.90
velvet,LS002,30M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42615724,15549850,2771,2,28894856,8320888,4096,99%,0,0,0,0,23.22,1769.40,7997,29:57.59
velvet,LS002,30M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42641764,15549850,6932,2,28893688,8321381,4096,99%,0,0,0,0,21.65,1602.19,7021,27:07.81
velvet,LS002,30M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42657452,15549850,1965,2,28893912,8322418,4096,99%,0,0,0,0,22.12,1614.93,8044,27:22.08
velvet,LS002,30M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42634156,15549850,1830,2,28893592,8321373,4096,99%,0,0,0,0,21.60,1606.98,7868,27:17.18
velvet,LS002,30M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42615724,15549842,4991,2,28894896,8321916,4096,99%,0,0,0,0,24.02,1784.05,8000,30:15.20
velvet,LS002,35M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49748705,18232855,2758,2,31896140,9264778,4096,99%,0,0,0,0,25.42,1918.74,8270,32:29.25
velvet,LS002,35M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49764905,18232863,2547,2,31896048,9264264,4096,99%,0,0,0,0,25.00,1900.99,9240,32:12.27
velvet,LS002,35M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49743401,18232855,7986,2,31897356,9264798,4096,99%,0,0,0,0,27.23,2101.98,9377,35:36.67
velvet,LS002,35M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49785129,18232863,7087,2,31897724,9264296,4096,99%,0,0,0,0,27.35,2098.19,9683,35:32.68
velvet,LS002,35M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49781033,18232855,2191,2,31896000,9264255,4096,99%,0,0,0,0,24.50,1837.89,8902,31:08.94
velvet,LS002,35M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49777377,18232855,3531,2,31897360,9264818,4096,99%,0,0,0,0,26.77,2096.72,8489,35:30.50
velvet,LS002,35M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49777377,18232863,3848,2,31897348,9264820,4096,99%,0,0,0,0,27.75,2114.37,9585,35:50.33
velvet,LS002,35M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49781545,18232863,2356,2,31897272,9264801,4096,99%,0,0,0,0,27.00,2100.71,9600,35:35.82
velvet,LS002,35M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49722921,18232855,3156,2,31896208,9264772,4096,99%,0,0,0,0,24.25,1904.96,9213,32:14.83
velvet,LS002,35M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49776937,18232863,3473,2,31897292,9264800,4096,99%,0,0,0,0,26.41,2079.61,9526,35:14.77
velvet,LS002,35M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49734953,18232863,2616,2,31897348,9264792,4096,99%,0,0,0,0,27.18,2091.95,8894,35:25.42
velvet,LS002,35M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49723105,18232863,2632,2,31896336,9264783,4096,99%,0,0,0,0,24.73,1934.90,9196,32:45.37
velvet,LS002,40M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56886739,20917456,2752,2,34785372,10178853,4096,99%,0,0,0,0,29.85,2420.52,10429,40:57.52
velvet,LS002,40M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56829067,20917456,3596,2,34784612,10177847,4096,99%,0,0,0,0,29.64,2406.44,10331,40:43.64
velvet,LS002,40M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56833419,20917456,2702,2,34784388,10178858,4096,99%,0,0,0,0,30.27,2423.57,10062,41:02.87
velvet,LS002,40M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56886667,20917456,2891,2,34783600,10178820,4096,99%,0,0,0,0,27.72,2202.32,10242,37:18.79
velvet,LS002,40M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56867979,20917448,4211,2,34783544,10178815,4096,99%,0,0,0,0,28.09,2230.57,10169,37:49.25
velvet,LS002,40M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56820179,20917456,8639,2,34783832,10178814,4096,99%,0,0,0,0,26.99,2235.52,10522,37:53.52
velvet,LS002,40M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56835211,20917448,5906,2,34783720,10178824,4096,99%,0,0,0,0,27.71,2213.51,9748,37:35.39
velvet,LS002,40M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56839123,20917456,3984,2,34784964,10178851,4096,99%,0,0,0,0,30.05,2440.48,9092,41:18.30
velvet,LS002,40M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56888715,20917456,6421,2,34783656,10177785,4096,99%,0,0,0,0,27.99,2211.74,10223,37:28.85
velvet,LS002,40M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56859787,20917448,5127,2,34784796,10178845,4096,99%,0,0,0,0,30.03,2403.24,10190,40:45.70
velvet,LS002,40M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56846987,20917448,2939,2,34784860,10178859,4096,99%,0,0,0,0,30.02,2448.76,8625,41:31.08
velvet,LS002,40M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56863187,20917456,8327,2,34784848,10178836,4096,99%,0,0,0,0,29.99,2412.43,9226,40:49.87
velvet,LS002,40M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56858763,20917448,2958,2,34785064,10178867,4096,99%,0,0,0,0,29.64,2427.92,9352,41:02.75
velvet,LS002,5M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,7025448,2371055,237,2,9087884,2170307,4096,99%,0,0,0,0,5.15,211.43,1295,3:36.80
velvet,LS002,5M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,7025472,2371055,251,2,9087880,2170813,4096,99%,0,0,0,0,5.34,213.48,1286,3:39.05
velvet,LS002,5M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,7025448,2371055,230,2,9087880,2171320,4096,99%,0,0,0,0,4.75,194.34,1303,3:19.28
velvet,LS002,5M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,7025448,2371055,237,2,9087880,2170301,4096,99%,0,0,0,0,5.02,210.53,1294,3:35.88
velvet,LS002,5M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,7025448,2371047,220,2,9087880,2171840,4096,99%,0,0,0,0,4.66,193.22,1297,3:18.07
velvet,LS002,5M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,7025448,2371047,218,2,9087880,2170297,4096,99%,0,0,0,0,4.64,194.07,1272,3:18.87
