module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,30M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887066,3424,3,14687268,2408850,4096,100%,0,0,0,0,11.88,2531.36,3006,42:22.41
velvet,LS002,30M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887074,4731,3,14687164,3158424,4096,100%,0,0,0,0,13.16,2668.63,2959,44:41.24
velvet,LS002,30M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54447161,5887066,2475,3,14687160,1934488,4096,100%,0,0,0,0,11.68,2259.44,2963,37:50.58
velvet,LS002,30M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54447161,5887074,2343,3,14687160,1936135,4096,100%,0,0,0,0,10.60,2074.12,3005,34:44.18
velvet,LS002,30M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887066,2734,3,14687160,1936168,4096,100%,0,0,0,0,11.05,2078.31,3021,34:49.12
velvet,LS002,30M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887066,2692,3,14687168,1935629,4096,99%,0,0,0,0,10.45,2086.17,3013,35:01.29
velvet,LS002,30M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446401,5887066,2580,3,14687184,1934513,4096,100%,0,0,0,0,12.69,2281.87,2998,38:14.54
velvet,LS002,35M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63622155,6828430,3600,3,16721944,3076407,4096,100%,0,0,0,0,13.82,2757.43,3444,46:10.68
velvet,LS002,35M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63622187,6828422,2880,3,16721940,2252209,4096,100%,0,0,0,0,12.71,2437.77,3476,40:50.17
velvet,LS002,35M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63622155,6828430,2916,3,16721936,2253731,4096,100%,0,0,0,0,13.87,2670.40,3469,44:43.91
velvet,LS002,35M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63621387,6828430,10504,3,16721936,2252182,4096,99%,0,0,0,0,14.68,2821.85,3445,47:16.96
velvet,LS002,35M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63621387,6828430,10674,3,16721936,2254256,4096,99%,0,0,0,0,13.03,2379.61,3480,39:52.90
velvet,LS002,35M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,63622155,6828422,3833,3,16721940,2254254,4096,100%,0,0,0,0,13.98,2645.88,3481,44:19.50
