module,sample,seqlen,ppn,mem,trial,split,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
frhit,LS002,20M,5,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33374820,56338,4282,13,50336628,12524231,4096,178%,0,0,0,0,33.44,2146.21,337974,20:23.11
frhit,LS002,20M,8,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33384549,56347,6335,13,50766340,12632056,4096,178%,0,0,0,0,36.96,2271.41,519991,21:31.91
frhit,LS002,20M,8,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33422949,56347,3412,13,50780548,12611500,4096,179%,0,0,0,0,35.35,2270.72,520693,21:26.29
frhit,LS002,25M,11,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33382060,68972,6650,13,51200160,12732876,4096,212%,0,0,0,0,34.96,2437.19,701501,19:23.81
frhit,LS002,25M,11,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33382990,68965,6227,20,51196736,12731488,4096,203%,0,0,0,0,38.67,2548.63,701616,21:09.88
frhit,LS002,25M,2,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33376429,68973,4143,13,49905012,12409330,4096,158%,0,0,0,0,31.45,2365.23,119139,25:09.49
frhit,LS002,25M,2,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33376430,68973,4154,13,49904144,12411303,4096,160%,0,0,0,0,32.00,2344.19,114627,24:41.66
frhit,LS002,25M,5,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33390261,68964,6240,13,50340916,12569611,4096,187%,0,0,0,0,34.88,2551.39,338132,22:57.86
frhit,LS002,25M,5,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33498316,68971,4624,13,50337608,12521558,4096,186%,0,0,0,0,34.68,2573.16,338115,23:15.66
frhit,LS002,25M,8,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33378988,68971,4476,13,50782264,12613275,4096,206%,0,0,0,0,33.83,2427.43,520337,19:50.73
