ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,ajorFaults,axRSS,inorFaults,PageSize,PercentCPU,SignalsDeliv,SocketsgRecv,SocketsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime,SampleName
24,110G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial4/dup -u 50",0,14176,36702800,3465,8,104979824,23362280,4096,100%,0,0,0,0,105.14,1039.36,324,19:03.94,LS002
24,110G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial5/dup -u 50",0,14176,36702800,1901,8,104979768,23362316,4096,100%,0,0,0,0,99.64,1056.84,393,19:15.84,LS002
24,120G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem120G/trial1/dup -u 50",0,14176,36702832,2970,8,104978732,23850744,4096,98%,0,0,0,0,355.74,1022.15,354,23:19.52,LS002
24,120G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem120G/trial2/dup -u 50",0,12544,36702840,3030,7,104978732,23813383,4096,98%,0,0,0,0,374.42,1045.06,356,24:03.12,LS002
24,120G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem120G/trial3/dup -u 50",0,12544,36702848,4187,7,104978732,24100770,4096,98%,0,0,0,0,308.01,1043.56,346,22:46.72,LS002
24,120G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem120G/trial4/dup -u 50",0,12544,36702864,4074,7,104980044,25512693,4096,97%,0,0,0,0,527.90,975.83,444,25:35.11,LS002
24,120G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem120G/trial5/dup -u 50",0,12544,36702800,2354,7,104980036,26038780,4096,99%,0,0,0,0,150.66,1067.28,270,20:20.25,LS002
24,90G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem90G/trial1/dup -u 50",0,9264,8,1310,8,94372020,21469736,4096,97%,0,0,0,0,87.34,379.05,380,7:58.37,LS002
2,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn2/mem110G/trial1/dup -u 50",0,12544,36702800,1513,7,104979188,23355508,4096,98%,0,0,0,0,109.01,1024.92,484,19:05.50,LS002
2,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn2/mem110G/trial1/dup -u 50",0,12544,36702800,1380,7,104979404,23358900,4096,98%,0,0,0,0,110.08,1003.21,586,18:47.99,LS002
2,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn2/mem110G/trial2/dup -u 50",0,12544,36702800,1410,7,104982188,23361566,4096,99%,0,0,0,0,100.81,1061.37,309,19:23.62,LS002
2,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn2/mem110G/trial2/dup -u 50",0,14176,36702800,1575,8,104983792,23359782,4096,98%,0,0,0,0,99.43,1058.78,562,19:30.22,LS002
